url,title,release_year,genre,imdb_rating,runtime,age_rating,production_country,streaming_service,type
https://www.justwatch.com/in/movie/harom-hara, Harom Hara (2024),2024,"Action & Adventure, Crime, Drama",8.0,2h 34min,A,India,"Amazon Prime Video , Amazon Prime Video , Jio Cinema , aha",Movie
https://www.justwatch.com/in/movie/golam, Golam (2024),2024,Crime,7.3,2h 0min,UA,India,"Amazon Prime Video , Amazon Prime Video",Movie
https://www.justwatch.com/in/movie/a-quiet-place-day-one, A Quiet Place: Day One (2024),2024,"Horror, Science-Fiction, Mystery & Thriller, Drama",6.4,1h 39min,UA,"United States, United Kingdom, Canada","Apple TV , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/mr-and-mrs-mahi, Mr. & Mrs. Mahi (2024),2024,"Romance, Drama, Sport",6.0,2h 19min,U,India,Netflix,Movie
https://www.justwatch.com/in/movie/deadpool-2, Deadpool 2 (2018),2018,"Action & Adventure, Comedy, Science-Fiction",7.6,2h 0min,A,United States,"Apple TV , Hotstar , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/love-lies-bleeding-2024, Love Lies Bleeding (2024),2024,"Mystery & Thriller, Crime, Romance, Action & Adventure",6.7,1h 44min,A,"United Kingdom, United States","Amazon Prime Video , Amazon Prime Video",Movie
https://www.justwatch.com/in/movie/salaar, Salaar (2023),2023,"Crime, Drama, Mystery & Thriller, Action & Adventure",6.5,2h 55min,A,India,"Hotstar , Netflix , Bookmyshow",Movie
https://www.justwatch.com/in/movie/savi-a-bloody-housewife, Savi (2024),2024,"Mystery & Thriller, Drama, Romance, Action & Adventure",6.6,2h 3min,UA,India,Netflix,Movie
https://www.justwatch.com/in/movie/maharshi, Maharshi (2019),2019,"Drama, Action & Adventure",7.2,2h 56min,UA,India,"Amazon Prime Video , Amazon Prime Video , Hotstar , Amazon Video",Movie
https://www.justwatch.com/in/movie/dune-2021, Dune (2021),2021,"Science-Fiction, Action & Adventure, Drama",8.0,2h 35min,UA,United States,"Apple TV , Netflix , Amazon Video , Apple TV , Apple TV",Movie
https://www.justwatch.com/in/movie/aattam, Aattam (2024),2024,"Mystery & Thriller, Drama",8.2,2h 19min,UA,India,"Amazon Prime Video , Amazon Prime Video , Bookmyshow",Movie
https://www.justwatch.com/in/movie/twisters, Twisters (2024),2024,"Drama, Mystery & Thriller, Action & Adventure",6.7,2h 3min,UA,United States,Bookmyshow,Movie
https://www.justwatch.com/in/movie/maharaj, Maharaj (2024),2024,"Drama, History, Mystery & Thriller, Crime",6.5,2h 12min,UA,India,Netflix,Movie
https://www.justwatch.com/in/movie/laapataa-ladies, Laapataa Ladies (2024),2024,"Drama, Comedy",8.4,2h 2min,UA,India,Netflix,Movie
https://www.justwatch.com/in/movie/inside-out-2, Inside Out 2 (2024),2024,"Kids & Family, Action & Adventure, Comedy, Animation, Drama, Fantasy",7.8,1h 37min,U,United States,"Apple TV , Apple TV , Bookmyshow",Movie
https://www.justwatch.com/in/movie/family-star, The Family Star (2024),2024,"Drama, Romance, Action & Adventure, Comedy",5.3,2h 39min,U,India,"Amazon Prime Video , Amazon Prime Video , Jio Cinema , Amazon Video , Bookmyshow",Movie
https://www.justwatch.com/in/movie/despicable-me-4-2024, Despicable Me 4 (2024),2024,"Kids & Family, Comedy, Action & Adventure, Animation, Science-Fiction, Crime",6.2,1h 34min,U,United States,"Apple TV , Zee5 , Amazon Video , Apple TV , Apple TV , Bookmyshow",Movie
https://www.justwatch.com/in/movie/oppenheimer, Oppenheimer (2023),2023,"Drama, History",8.3,3h 0min,UA,"United Kingdom, United States","Apple TV , Jio Cinema , Jio Cinema , Zee5 , Amazon Video , Apple TV , Hungama Play , Apple TV",Movie
